College Code,College Name,District,Branch Code,Branch Name,OC,MBC
2722,"Sri Krishna College of Technology (Autonomous), Kovaipudur Post, Coimbatore District 641042",Coimbatore,AD,Artificial Intelligence and Data Science,999999999999,999999999999
2723,"Velalar College of Engineering and Technology (Autonomous), Thindal Post, Erode District 638009",Erode,IT,Information Technology,42915,109717
2727,"Sri Shakthi Institute of Engineering and Technology (Autonomous), L&T Bye-Pass, Venkitapuram Post, Coimbatore District 641062",Coimbatore,EC,Electronics and Communication Engineering,73685,109643
2727,"Sri Shakthi Institute of Engineering and Technology (Autonomous), L&T Bye-Pass,Venkitapuram Post, Coimbatore District 641062",Coimbatore,AD,Artificial Intelligence and Data Science,999999999999,999999999999
2729,"Nehru Institute of Engineering and Technology, Thirumalayampalayam Post, Coimbatore District 641105",Coimbatore,AD,Artificial Intelligence and Data Science,77221,110978
2733,"Angel College of Engineering and Technology, P.K.Palayam, Ugayanur Village, Tiruppur District 641 665",Tiruppur,CS,Computer Science and Engineering,95619,110713
2736,"Dr. N G P Institute of Technology, Kalapatti Road, Coimbatore District 641035",Coimbatore,EC,Electronics and Communication Engineering,58144,110220
2736,"Dr. N G P Institute of Technology, Kalapatti Road, Coimbatore District 641035",Coimbatore,AD,Artificial Intelligence and Data Science,999999999999,999999999999
2737,"Sri Sai Ranganathan Engineering College, Zahirnaickenpalayam Village, Viraliyur Post,Thondamuthur Via, Coimbatore District 641109",Coimbatore,EC,Electronics and Communication Engineering,999999999999,999999999999
2737,"Sri Sai Ranganathan Engineering College, Zahirnaickenpalayam Village, Viraliyur Post, Thondamuthur Via, Coimbatore District 641109",Coimbatore,CS,Computer Science and Engineering,110057,
2740,"Hindustan Institute of Technology, Othakkalmandapam, Coimbatore District 641032",Coimbatore,AD,Artificial Intelligence and Data Science,999999999999,999999999999
2741,"P A College of Engineering and Technology (Autonomous), Palladam Road, Pollachi, Coimbatore District 642002",Coimbatore,CS,Computer Science and Engineering,54423,109616
2743,"Dhanalakshmi Srinivasan College of Engineering, NH47, Palakkad Main Road, Navakkarai Post, Near Nandhi Temple, Coimbatore District 641105",Coimbatore,AD,Artificial Intelligence and Data Science,62776,110434
2748,"Surya Engineering College, Mettukadai, Kathirampatti Post, Erode District 638107",Erode,EC,Electronics and Communication Engineering,999999999999,999999999999
