College Code,College Name,District,Branch Code,Branch Name,Cutoff OC,Cutoff MBC,Rank OC,Rank MBC
1411,"Madha Engineering College, Kundrathur, Chennai 600069",Chennai,CS,COMPUTER SCIENCE AND ENGINEERING,138,98.5,82433,138232
1411,"Madha Engineering College, Kundrathur, Chennai 600069",Chennai,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,101.5,81.5,134739,154706
1411,"Madha Engineering College, Kundrathur, Chennai 600069",Chennai,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,104.5,,131063,
1411,"Madha Engineering College, Kundrathur, Chennai 600069",Chennai,IT,INFORMATION TECHNOLOGY,143,118.5,74820,112007
1412,"Mailam Engineering College, Mailam, Villupuram District 604304",Villupuram,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,164,133.5,43856,89687
1412,"Mailam Engineering College, Mailam, Villupuram District 604304",Villupuram,CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM,132,120.5,91671,108952
1412,"Mailam Engineering College, Mailam, Villupuram District 604304",Villupuram,CS,COMPUTER SCIENCE AND ENGINEERING,162,141,46927,78046
1412,"Mailam Engineering College, Mailam, Villupuram District 604304",Villupuram,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,130.5,117,94575,114629
1412,"Mailam Engineering College, Mailam, Villupuram District 604304",Villupuram,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,119.5,112,110703,121456
1412,"Mailam Engineering College, Mailam, Villupuram District 604304",Villupuram,IT,INFORMATION TECHNOLOGY,158.5,132.5,52271,90855
1413,"Sri Venkateswaraa College of Technology, Sirukulathur, Vadakkal Village, Pondur Post, Sriperumbudur Taluk, Kancheepuram District 602105",Kancheepuram,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,137,131.5,84187,92571
1413,"Sri Venkateswaraa College of Technology, Sirukulathur, Vadakkal Village, Pondur Post, Sriperumbudur Taluk, Kancheepuram District 602105",Kancheepuram,CS,COMPUTER SCIENCE AND ENGINEERING,167,132.5,39366,91045
1413,"Sri Venkateswaraa College of Technology, Sirukulathur, Vadakkal Village, Pondur Post, Sriperumbudur Taluk, Kancheepuram District 602105",Kancheepuram,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,158,106,53103,129527
1413,"Sri Venkateswaraa College of Technology, Sirukulathur, Vadakkal Village, Pondur Post, Sriperumbudur Taluk, Kancheepuram District 602105",Kancheepuram,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,151,,63382,
1413,"Sri Venkateswaraa College of Technology, Sirukulathur, Vadakkal Village, Pondur Post, Sriperumbudur Taluk, Kancheepuram District 602105",Kancheepuram,SC,Computer Science and Engineering (Cyber Security),150,86.5,64783,150654
1414,"Prince Shri Venkateshwara  Padmavathy Engineering College, Ponmar, Chennai 600048",Chennai,CS,COMPUTER SCIENCE AND ENGINEERING,180.065,156.185,20155,55423
1414,"Prince Shri Venkateshwara  Padmavathy Engineering College, Ponmar, Chennai 600048",Chennai,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,152.855,128.5,60582,97571
1414,"Prince Shri Venkateshwara  Padmavathy Engineering College, Ponmar, Chennai 600048",Chennai,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,127.5,106.5,98443,128675
1414,"Prince Shri Venkateshwara  Padmavathy Engineering College, Ponmar, Chennai 600048",Chennai,IT,INFORMATION TECHNOLOGY,174.56,156,27864,55475
1416,"Jaya Sakthi Engineering College, Thirunindravur, Chennai 602024",Chennai,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,80,,155742,
1416,"Jaya Sakthi Engineering College, Thirunindravur, Chennai 602024",Chennai,CS,COMPUTER SCIENCE AND ENGINEERING,108,87,126652,149807
1419,"Sri Sai Ram Enginering College (Autonomous), West Tambaram, Chennai 600044",Chennai,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,183,172,16808,32036
1419,"Sri Sai Ram Enginering College (Autonomous), West Tambaram, Chennai 600044",Chennai,AM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),185,176.5,13918,25259
1419,"Sri Sai Ram Enginering College (Autonomous), West Tambaram, Chennai 600044",Chennai,CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM,181,171.9,19068,32208
1419,"Sri Sai Ram Enginering College (Autonomous), West Tambaram, Chennai 600044",Chennai,CI,Computer Science and Engineering (Internet of Things),179.5,170,20830,34884
1419,"Sri Sai Ram Enginering College (Autonomous), West Tambaram, Chennai 600044",Chennai,CS,COMPUTER SCIENCE AND ENGINEERING,190,182,7944,17911
1419,"Sri Sai Ram Enginering College (Autonomous), West Tambaram, Chennai 600044",Chennai,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,182.5,168,17312,37619
1419,"Sri Sai Ram Enginering College (Autonomous), West Tambaram, Chennai 600044",Chennai,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,175,161.5,27756,47460
